,segment,label,speaker,start,end
125,[ 00:04:08.803 -->  00:04:16.375],BO,SPEAKER_00,608.8,616.38
126,[ 00:04:10.263 -->  00:04:10.297],BP,SPEAKER_02,610.26,611.3
127,[ 00:04:15.865 -->  00:04:17.971],BS,SPEAKER_01,615.87,617.97
128,[ 00:04:19.804 -->  00:04:20.636],BT,SPEAKER_01,619.8,620.64
129,[ 00:04:20.636 -->  00:04:21.502],BU,SPEAKER_03,620.64,621.5
130,[ 00:04:21.213 -->  00:04:23.285],BV,SPEAKER_01,621.21,623.29
131,[ 00:04:24.269 -->  00:04:26.901],BW,SPEAKER_01,624.27,626.9
132,[ 00:04:27.088 -->  00:04:36.477],BX,SPEAKER_01,627.09,636.48
133,[ 00:04:36.782 -->  00:04:45.186],BY,SPEAKER_01,636.78,645.19
134,[ 00:04:45.186 -->  00:04:58.276],BZ,SPEAKER_03,645.19,658.28
135,[ 00:04:58.616 -->  00:05:15.424],CA,SPEAKER_01,658.62,675.42
136,[ 00:04:58.786 -->  00:04:59.889],CB,SPEAKER_03,658.79,659.89
137,[ 00:05:10.093 -->  00:05:10.331],CC,SPEAKER_02,670.09,670.33
138,[ 00:05:13.132 -->  00:05:25.016],CD,SPEAKER_00,673.13,685.02
139,[ 00:05:25.611 -->  00:05:37.614],CE,SPEAKER_00,685.61,697.61
140,[ 00:05:38.225 -->  00:05:40.008],CF,SPEAKER_00,698.23,700.01
141,[ 00:05:40.008 -->  00:05:43.166],CG,SPEAKER_03,700.01,703.17
142,[ 00:05:43.760 -->  00:05:46.392],CH,SPEAKER_00,703.76,706.39
143,[ 00:05:46.612 -->  00:05:48.667],CI,SPEAKER_00,706.61,708.67
144,[ 00:05:47.716 -->  00:05:48.344],CJ,SPEAKER_01,707.72,708.34
145,[ 00:05:48.667 -->  00:05:48.752],CK,SPEAKER_01,708.67,708.75
146,[ 00:05:49.736 -->  00:05:53.556],CL,SPEAKER_00,709.74,713.56
147,[ 00:05:49.804 -->  00:05:49.855],CM,SPEAKER_01,709.8,709.86
148,[ 00:05:49.855 -->  00:05:50.110],CN,SPEAKER_02,709.86,710.11
149,[ 00:05:51.791 -->  00:05:59.991],CO,SPEAKER_02,711.79,719.99
150,[ 00:05:57.207 -->  00:05:59.346],CP,SPEAKER_01,717.21,719.35
151,[ 00:05:59.346 -->  00:05:59.991],CQ,SPEAKER_00,719.35,722.76
152,[ 00:00:06.375 -->  00:00:06.884],C,SPEAKER_00,726.38,726.88
153,[ 00:00:09.278 -->  00:00:10.042],D,SPEAKER_00,729.28,742.11
154,[ 00:00:16.460 -->  00:00:16.528],F,SPEAKER_02,736.46,736.53
155,[ 00:00:16.528 -->  00:00:17.071],G,SPEAKER_01,736.53,737.07
156,[ 00:00:17.071 -->  00:00:17.105],H,SPEAKER_02,737.07,737.11
157,[ 00:00:17.105 -->  00:00:17.173],I,SPEAKER_01,737.11,737.17
158,[ 00:00:23.200 -->  00:00:28.769],J,SPEAKER_02,743.2,748.77
159,[ 00:00:23.760 -->  00:00:24.032],K,SPEAKER_00,743.76,744.03
160,[ 00:00:24.762 -->  00:00:34.728],L,SPEAKER_03,744.76,754.73
161,[ 00:00:28.786 -->  00:00:28.904],M,SPEAKER_02,748.79,748.9
162,[ 00:00:29.006 -->  00:00:29.023],N,SPEAKER_02,749.01,749.4
163,[ 00:00:34.813 -->  00:00:36.460],P,SPEAKER_03,754.81,756.46
164,[ 00:00:35.186 -->  00:00:39.108],Q,SPEAKER_00,755.19,759.11
165,[ 00:00:36.799 -->  00:00:40.789],R,SPEAKER_03,756.8,760.79
166,[ 00:00:40.449 -->  00:00:40.721],S,SPEAKER_00,760.45,760.72
167,[ 00:00:41.366 -->  00:00:46.528],T,SPEAKER_00,761.37,766.53
168,[ 00:00:47.461 -->  00:00:55.186],U,SPEAKER_00,767.46,775.19
169,[ 00:00:47.648 -->  00:00:48.022],V,SPEAKER_03,767.65,768.02
170,[ 00:00:50.636 -->  00:00:52.521],W,SPEAKER_03,770.64,772.52
171,[ 00:00:55.831 -->  00:00:58.106],X,SPEAKER_03,775.83,778.11
172,[ 00:00:57.971 -->  00:00:58.480],Y,SPEAKER_00,777.97,778.48
173,[ 00:00:58.938 -->  00:01:02.928],Z,SPEAKER_03,778.94,782.93
174,[ 00:01:01.808 -->  00:01:08.157],AA,SPEAKER_00,781.81,788.16
175,[ 00:01:08.378 -->  00:01:12.572],AB,SPEAKER_00,788.38,792.57
176,[ 00:01:08.786 -->  00:01:08.853],AC,SPEAKER_03,788.79,788.85
177,[ 00:01:08.853 -->  00:01:08.887],AD,SPEAKER_01,788.85,788.89
178,[ 00:01:08.887 -->  00:01:09.312],AE,SPEAKER_03,788.89,789.31
179,[ 00:01:09.516 -->  00:01:10.127],AF,SPEAKER_03,789.52,790.13
180,[ 00:01:12.232 -->  00:01:14.490],AG,SPEAKER_03,792.23,794.49
181,[ 00:01:13.981 -->  00:01:26.782],AH,SPEAKER_01,793.98,806.78
182,[ 00:01:14.490 -->  00:01:14.830],AI,SPEAKER_00,794.49,794.83
183,[ 00:01:20.704 -->  00:01:21.926],AJ,SPEAKER_00,800.7,801.93
184,[ 00:01:23.013 -->  00:01:23.930],AK,SPEAKER_00,803.01,803.93
185,[ 00:01:23.930 -->  00:01:24.100],AL,SPEAKER_02,803.93,804.1
186,[ 00:01:24.100 -->  00:01:25.848],AM,SPEAKER_00,804.1,805.85
187,[ 00:01:25.848 -->  00:01:26.409],AN,SPEAKER_02,805.85,806.41
188,[ 00:01:26.782 -->  00:01:43.522],AO,SPEAKER_02,806.78,823.52
189,[ 00:01:41.757 -->  00:01:42.436],AP,SPEAKER_01,821.76,822.44
190,[ 00:01:45.356 -->  00:01:49.193],AQ,SPEAKER_02,825.36,829.19
191,[ 00:01:48.565 -->  00:01:55.033],AR,SPEAKER_03,828.57,835.03
192,[ 00:01:53.777 -->  00:02:02.164],AS,SPEAKER_00,833.78,842.16
193,[ 00:02:00.348 -->  00:02:09.906],AT,SPEAKER_01,840.35,849.91
194,[ 00:02:10.110 -->  00:02:10.382],AU,SPEAKER_01,850.11,850.38
195,[ 00:02:10.687 -->  00:02:12.351],AV,SPEAKER_01,850.69,852.35
196,[ 00:02:13.149 -->  00:02:32.096],AW,SPEAKER_01,853.15,872.1
197,[ 00:02:32.572 -->  00:02:34.881],AX,SPEAKER_03,872.57,874.88
198,[ 00:02:33.387 -->  00:02:42.011],AY,SPEAKER_00,873.39,882.01
199,[ 00:02:34.915 -->  00:02:35.000],AZ,SPEAKER_03,874.92,875.0
200,[ 00:02:38.412 -->  00:02:38.650],BA,SPEAKER_01,878.41,878.65
201,[ 00:02:41.078 -->  00:02:49.295],BB,SPEAKER_01,881.08,889.3
202,[ 00:02:45.271 -->  00:02:45.967],BC,SPEAKER_00,885.27,885.97
203,[ 00:02:48.752 -->  00:02:53.828],BD,SPEAKER_02,888.75,893.83
204,[ 00:02:52.130 -->  00:02:54.405],BE,SPEAKER_01,892.13,894.41
205,[ 00:02:53.998 -->  00:02:54.015],BF,SPEAKER_00,894.0,894.02
206,[ 00:02:54.609 -->  00:02:57.580],BG,SPEAKER_01,894.61,897.58
207,[ 00:02:54.932 -->  00:03:05.407],BH,SPEAKER_00,894.93,905.41
208,[ 00:02:57.801 -->  00:02:57.869],BI,SPEAKER_01,897.8,897.87
209,[ 00:02:58.633 -->  00:02:59.329],BJ,SPEAKER_01,898.63,899.33
210,[ 00:03:00.008 -->  00:03:00.636],BK,SPEAKER_01,900.01,900.64
211,[ 00:03:00.636 -->  00:03:00.670],BL,SPEAKER_02,900.64,900.67
212,[ 00:03:00.670 -->  00:03:00.687],BM,SPEAKER_01,900.67,900.69
213,[ 00:03:00.687 -->  00:03:00.738],BN,SPEAKER_02,900.69,900.74
214,[ 00:03:00.738 -->  00:03:00.840],BO,SPEAKER_01,900.74,900.84
215,[ 00:03:03.675 -->  00:03:11.994],BP,SPEAKER_02,903.68,911.99
216,[ 00:03:06.646 -->  00:03:11.859],BQ,SPEAKER_00,906.65,911.86
217,[ 00:03:12.962 -->  00:03:21.027],BR,SPEAKER_00,912.96,921.03
218,[ 00:03:18.870 -->  00:03:33.251],BS,SPEAKER_02,918.87,933.25
219,[ 00:03:22.996 -->  00:03:24.388],BT,SPEAKER_00,923.0,925.15
220,[ 00:03:30.568 -->  00:03:30.959],BV,SPEAKER_00,930.57,930.96
221,[ 00:03:33.726 -->  00:03:44.779],BW,SPEAKER_00,933.73,944.78
222,[ 00:03:37.190 -->  00:03:37.665],BX,SPEAKER_02,937.19,937.67
223,[ 00:03:40.959 -->  00:03:40.976],BY,SPEAKER_01,940.96,940.98
224,[ 00:03:40.976 -->  00:03:41.332],BZ,SPEAKER_02,940.98,941.33
225,[ 00:03:45.101 -->  00:03:49.312],CA,SPEAKER_00,945.1,949.31
226,[ 00:03:50.959 -->  00:04:00.857],CB,SPEAKER_00,950.96,960.86
227,[ 00:03:57.461 -->  00:04:03.913],CC,SPEAKER_02,957.46,963.91
228,[ 00:04:01.723 -->  00:04:01.808],CD,SPEAKER_00,961.72,961.81
229,[ 00:04:02.419 -->  00:04:07.886],CE,SPEAKER_00,962.42,967.89
230,[ 00:04:06.137 -->  00:04:13.166],CF,SPEAKER_02,966.14,973.17
231,[ 00:04:09.872 -->  00:04:11.791],CG,SPEAKER_00,969.87,971.79
232,[ 00:04:13.539 -->  00:04:17.461],CH,SPEAKER_00,973.54,977.46
233,[ 00:04:15.509 -->  00:04:23.234],CI,SPEAKER_02,975.51,983.23
234,[ 00:04:23.404 -->  00:04:23.421],CJ,SPEAKER_02,983.4,983.42
235,[ 00:04:23.421 -->  00:04:32.215],CK,SPEAKER_00,983.42,992.22
236,[ 00:04:23.455 -->  00:04:23.522],CL,SPEAKER_02,983.46,983.52
237,[ 00:04:32.877 -->  00:04:34.983],CM,SPEAKER_03,992.88,994.98
238,[ 00:04:35.882 -->  00:04:37.258],CN,SPEAKER_03,995.88,997.26
239,[ 00:04:37.258 -->  00:04:42.113],CO,SPEAKER_02,997.26,1002.11
240,[ 00:04:38.769 -->  00:04:46.629],CP,SPEAKER_00,998.77,1006.63
241,[ 00:04:43.030 -->  00:04:43.998],CQ,SPEAKER_02,1003.03,1004.0
242,[ 00:04:43.998 -->  00:04:58.242],CR,SPEAKER_03,1004.0,1018.24
243,[ 00:04:51.112 -->  00:04:51.434],CS,SPEAKER_00,1011.11,1011.43
244,[ 00:04:55.560 -->  00:04:55.747],CT,SPEAKER_00,1015.56,1015.75
245,[ 00:04:56.850 -->  00:05:03.098],CU,SPEAKER_00,1016.85,1023.1
246,[ 00:05:03.098 -->  00:05:03.149],CV,SPEAKER_03,1023.1,1023.15
247,[ 00:05:03.149 -->  00:05:06.629],CW,SPEAKER_00,1023.15,1026.63
248,[ 00:05:06.918 -->  00:05:11.655],CX,SPEAKER_03,1026.92,1031.66
249,[ 00:05:07.818 -->  00:05:16.952],CY,SPEAKER_00,1027.82,1036.95
250,[ 00:05:17.801 -->  00:05:28.514],CZ,SPEAKER_00,1037.8,1048.51
251,[ 00:05:17.988 -->  00:05:18.276],DA,SPEAKER_01,1037.99,1038.28
252,[ 00:05:22.300 -->  00:05:29.753],DB,SPEAKER_01,1042.3,1049.75
253,[ 00:05:29.363 -->  00:05:39.108],DC,SPEAKER_00,1049.36,1059.11
254,[ 00:05:39.770 -->  00:05:41.095],DD,SPEAKER_03,1059.77,1061.1
255,[ 00:05:40.500 -->  00:05:55.135],DE,SPEAKER_00,1060.5,1075.14
256,[ 00:05:56.612 -->  00:05:59.991],DF,SPEAKER_01,1076.61,1087.07
257,[ 00:00:08.022 -->  00:00:15.594],C,SPEAKER_01,1088.02,1095.59
258,[ 00:00:16.137 -->  00:00:17.342],D,SPEAKER_03,1096.14,1097.34
259,[ 00:00:17.733 -->  00:00:35.933],E,SPEAKER_01,1097.73,1115.93
260,[ 00:00:25.611 -->  00:00:25.814],F,SPEAKER_02,1105.61,1105.81
261,[ 00:00:25.814 -->  00:00:25.831],G,SPEAKER_00,1105.81,1105.83
262,[ 00:00:30.857 -->  00:00:31.383],H,SPEAKER_00,1110.86,1111.38
263,[ 00:00:36.646 -->  00:00:39.091],I,SPEAKER_01,1116.65,1119.09
264,[ 00:00:39.634 -->  00:00:43.930],J,SPEAKER_01,1119.63,1123.93
265,[ 00:00:39.821 -->  00:00:42.062],K,SPEAKER_00,1119.82,1122.06
266,[ 00:00:42.062 -->  00:00:42.113],L,SPEAKER_03,1122.06,1122.11
267,[ 00:00:42.113 -->  00:00:42.266],M,SPEAKER_00,1122.11,1122.27
268,[ 00:00:42.266 -->  00:00:53.115],N,SPEAKER_03,1122.27,1133.12
269,[ 00:00:45.967 -->  00:00:46.850],O,SPEAKER_01,1125.97,1126.85
270,[ 00:00:46.850 -->  00:00:47.003],P,SPEAKER_00,1126.85,1127.0
271,[ 00:00:47.003 -->  00:00:47.308],Q,SPEAKER_01,1127.0,1127.31
272,[ 00:00:48.344 -->  00:00:50.806],R,SPEAKER_01,1128.34,1130.81
273,[ 00:00:52.504 -->  00:01:08.887],S,SPEAKER_01,1132.5,1148.89
274,[ 00:00:59.736 -->  00:00:59.821],T,SPEAKER_00,1139.74,1139.82
275,[ 00:00:59.821 -->  00:00:59.991],U,SPEAKER_02,1139.82,1139.99
276,[ 00:00:59.991 -->  00:01:00.144],V,SPEAKER_00,1139.99,1140.14
277,[ 00:01:02.860 -->  00:01:03.149],W,SPEAKER_00,1142.86,1143.15
278,[ 00:01:03.149 -->  00:01:03.777],X,SPEAKER_02,1143.15,1143.78
279,[ 00:01:03.777 -->  00:01:03.828],Y,SPEAKER_00,1143.78,1143.83
280,[ 00:01:03.828 -->  00:01:03.981],Z,SPEAKER_02,1143.83,1143.98
281,[ 00:01:03.981 -->  00:01:04.049],AA,SPEAKER_00,1143.98,1144.05
282,[ 00:01:04.049 -->  00:01:04.066],AB,SPEAKER_02,1144.05,1144.07
283,[ 00:01:04.066 -->  00:01:05.000],AC,SPEAKER_00,1144.07,1145.0
284,[ 00:01:05.000 -->  00:01:05.475],AD,SPEAKER_02,1145.0,1145.48
285,[ 00:01:05.475 -->  00:01:05.509],AE,SPEAKER_00,1145.48,1145.51
286,[ 00:01:09.397 -->  00:01:09.414],AF,SPEAKER_01,1149.4,1149.41
287,[ 00:01:09.414 -->  00:01:09.448],AG,SPEAKER_02,1149.41,1149.45
288,[ 00:01:09.448 -->  00:01:09.567],AH,SPEAKER_01,1149.45,1149.57
289,[ 00:01:09.567 -->  00:01:09.584],AI,SPEAKER_03,1149.57,1159.01
290,[ 00:01:19.006 -->  00:01:19.023],AK,SPEAKER_00,1159.01,1167.16
291,[ 00:01:27.495 -->  00:01:29.397],AM,SPEAKER_00,1167.5,1169.4
292,[ 00:01:27.563 -->  00:01:28.582],AN,SPEAKER_03,1167.56,1168.58
293,[ 00:01:29.974 -->  00:01:42.911],AO,SPEAKER_00,1169.97,1182.91
294,[ 00:01:44.694 -->  00:01:46.850],AP,SPEAKER_00,1184.69,1186.85
295,[ 00:01:44.728 -->  00:01:59.091],AQ,SPEAKER_02,1184.73,1199.09
296,[ 00:01:48.972 -->  00:01:49.278],AR,SPEAKER_00,1188.97,1189.28
297,[ 00:01:51.689 -->  00:01:52.011],AS,SPEAKER_00,1191.69,1192.01
298,[ 00:01:57.699 -->  00:02:07.190],AT,SPEAKER_00,1197.7,1207.19
299,[ 00:01:59.601 -->  00:01:59.753],AU,SPEAKER_02,1199.6,1201.1
300,[ 00:02:05.882 -->  00:02:06.358],AX,SPEAKER_02,1205.88,1206.36
301,[ 00:02:06.358 -->  00:02:06.477],AY,SPEAKER_01,1206.36,1206.48
302,[ 00:02:06.477 -->  00:02:06.748],AZ,SPEAKER_02,1206.48,1206.75
303,[ 00:02:06.748 -->  00:02:06.918],BA,SPEAKER_01,1206.75,1206.92
304,[ 00:02:06.918 -->  00:02:06.969],BB,SPEAKER_02,1206.92,1206.97
305,[ 00:02:06.969 -->  00:02:10.517],BC,SPEAKER_01,1206.97,1210.52
306,[ 00:02:07.190 -->  00:02:07.207],BD,SPEAKER_02,1207.19,1207.21
307,[ 00:02:07.207 -->  00:02:09.091],BE,SPEAKER_00,1207.21,1209.09
308,[ 00:02:09.091 -->  00:02:19.736],BF,SPEAKER_02,1209.09,1219.74
309,[ 00:02:20.093 -->  00:02:22.351],BG,SPEAKER_02,1220.09,1222.35
310,[ 00:02:22.062 -->  00:02:23.998],BH,SPEAKER_00,1222.06,1224.0
311,[ 00:02:23.132 -->  00:02:23.913],BI,SPEAKER_02,1223.13,1223.91
312,[ 00:02:23.998 -->  00:02:24.745],BJ,SPEAKER_01,1224.0,1224.75
313,[ 00:02:24.473 -->  00:02:24.558],BK,SPEAKER_00,1224.47,1224.56
314,[ 00:02:24.558 -->  00:02:28.225],BL,SPEAKER_03,1224.56,1228.23
