start,end,speaker,text
127.59,141.68,N_SPK8001,给老师送过去，这是表示对老师的尊重是吧，嗯到你到大年级的学生呢肯定要给老师，因为嗯他要学习知识多了嘛，要老老师这一年也挺辛苦的了。
141.53,149.16,N_SPK8004,这个肯定有一平衡点，你比如说一二年级的孩子他不懂表达，口齿不清，嗯思维肯定还没有。
149.62,152.0,N_SPK8002,比，完善，完善，对，然后呢？
150.25,156.96,N_SPK8004,逐渐的完善，那么肯定这个年级的孩子，他肯定家长代劳的会多一些。
154.53,154.84,N_SPK8002,那就。
157.75,162.37,N_SPK8004,那至于四五六的，快小升初的那个年级要拔高儿的那个年级。
158.63,159.02,N_SPK8003,嗯。
162.37,175.38,N_SPK8004,他们的表达能力要相对于一二三年级要强很多，那么这个阶段让孩子去，多一些家长少一些，达到这种天平互补，平衡的这种效果。
175.74,188.35,N_SPK8002,我觉得家长也可以就是问问孩子，你打算要要送老师什么，也可以参考一下，就是从孩子，从孩子的眼里出发，我想送老师什么礼物。
188.81,199.63,N_SPK8001,这个四五年级的孩子呀他也知道大一点儿了，他也知道天天跟老师一块儿，他也一般的知道老师喜好什么，有什么爱好，啊有什么那个。
191.58,192.02,N_SPK8004,嗯。
192.26,192.6,N_SPK8002,嗯。
195.98,196.23,N_SPK8002,对。
196.36,197.83,N_SPK8004,嗯，有什么需求？
197.83,209.61,N_SPK8002,有什么需求，不能说，不能说家长一味的去做主说我想送什么什么，这种的我觉得也，也要考虑一下孩子，征求，征求一下孩子的意见，嗯。
200.5,200.83,N_SPK8004,嗯。
204.43,209.1,N_SPK8001,对，咱们也得征求孩子的意见老师家长必须要征求孩子意见。
205.88,207.05,N_SPK8004,嗯，对。
208.53,220.74,N_SPK8004,对，这个征求孩子意见，然后做一个平衡，啊，你比如说送个奖奖品啊，比如说这老师天天批改作业，送给一个这个这个这个那叫。
210.81,211.18,N_SPK8001,嗯。
215.57,216.01,N_SPK8003,嗯。
220.8,221.43,N_SPK8002,眼部仪。
221.6,222.9,N_SPK8004,呃，护眼灯。
223.24,237.24,N_SPK8004,啊，现在这这几年比较流行，护眼灯，啊然后呢，这个来说呢，也是非常的关心老师啊，然后在这个教师节也是非常恰如其分啊，啊然后也不会让老师有一些不适。
223.29,224.73,N_SPK8002,啊，护眼灯，嗯。
226.0,226.48,N_SPK8003,嗯。
230.3,230.54,N_SPK8001,对。
230.34,230.67,N_SPK8002,嗯。
237.96,238.34,N_SPK8002,嗯。
238.18,251.11,N_SPK8001,这老师呢他一天呢坐这儿那个站这儿，站一天也挺累的，嗯孩子们他给做咱们家长做建议，让孩子去还得让孩子去决定给老师买点儿这个。
249.57,259.81,N_SPK8003,对就让家长还是有一些靠谱的提议，提示是吧，就是几几选一，比如说是刚才讲的有什么颈部按摩仪啊，眼部按摩仪或者是护眼台灯。
254.31,254.72,N_SPK8001,啊。
260.08,260.53,N_SPK8004,嗯。
260.52,264.93,N_SPK8003,啊包括一些防止静脉曲张的这种这种小的护具啊之类的。
265.88,274.07,N_SPK8003,然后到时候让孩子给参考，也让就是说孩子能有一些，就是自己有一些自己的主观呀，或者什么的意识是吧，嗯。
273.0,278.42,N_SPK8001,对，让他哎给老师嗯给老师送过去，老师也乐意收。
273.28,273.78,N_SPK8004,对。
273.56,273.92,N_SPK8002,嗯。
278.33,278.86,N_SPK8003,嗯。
279.3,279.8,N_SPK8002,然后，现。
279.48,284.9,N_SPK8004,因为因为咱们现在关系到一个什么呀，因为有的时候你家长送过去。
285.06,285.84,N_SPK8001,那不可能。
285.17,286.14,N_SPK8002,不见得，不见。
285.72,294.1,N_SPK8004,那老师很尴尬，哎，很尴尬，然后呢，你送的这个这个这个这个产品有的时候，可能家长心细一点儿，他会做一个精美的包装。
286.87,287.13,N_SPK8002,不。
294.04,294.42,N_SPK8002,嗯。
294.42,296.09,N_SPK8004,但是老师他不会这么想。
296.86,301.66,N_SPK8004,他虽然是你捆绑在教师节上，但是呢我觉得。
297.49,297.86,N_SPK8003,嗯。
302.8,309.99,N_SPK8004,这个来说呢，这个送送到哪儿，呃谁来收，这也是一个很大的点。
307.63,308.06,N_SPK8003,嗯。
309.42,317.85,N_SPK8002,还有一个，就是一个时间点，我是，呃，什什么时候送，比方说比方说孩子画的贺卡，唉，我九月呃，九月十号教师节。
311.01,311.45,N_SPK8003,嗯。
312.03,314.04,N_SPK8004,什么时候送？嗯。
317.85,330.32,N_SPK8002,我可以九月十号，我当天送那咱买的这些礼物是，是是当天呢，还是提前一提前几天，因为现在也关系，因因为教师节，它关系的还有一个物流的时间。
331.56,331.79,N_SPK8004,对。
332.14,339.93,N_SPK8001,我认为啊这个事儿啊，送老师这个奖品那个给老师礼物这个事儿啊，呃节前节后。
332.43,333.49,N_SPK8003,你这个。
334.66,334.99,N_SPK8004,嗯。
341.6,343.44,N_SPK8001,都不大太受影响。
342.82,355.1,N_SPK8004,而且吧，这个这个矛盾点儿就在这儿，这个如果要是说在教师节前后送吧，不符合这个这个当天教师节的这个这个气氛。
353.72,354.45,N_SPK8002,那个气氛。
355.5,363.62,N_SPK8004,然后这个，但是呢你像学生一个班有二三十个，你同时一天送那太太扎眼了。
359.85,361.64,N_SPK8002,三十来个吧，送。
360.54,360.87,N_SPK8003,对呀。
363.98,364.3,N_SPK8002,如果。
364.01,367.18,N_SPK8003,对，而且这个老师他不一定收啊，你要是，嗯。
364.48,365.01,N_SPK8001,这个。
366.0,366.76,N_SPK8004,还不一定收。
366.1,366.95,N_SPK8002,那，那也。
366.63,375.69,N_SPK8001,孩子们呀给老师送小送个手工自己画个画什么的，送个手工当天教师节当天给老师画个花儿，呃肯定老师要。
374.24,387.46,N_SPK8004,呃，我有一提议呀，我觉得这个同学A同学送一个，B同学送一个，这甭有不不包括家长，这就得好几十份儿，我觉得不如让学生整体总体做一个哎。
374.49,374.71,N_SPK8003,嗯。
376.15,376.46,N_SPK8003,嗯。
383.18,383.47,N_SPK8003,嗯。
387.75,387.94,N_SPK8002,那。
387.98,390.91,N_SPK8004,啊，奇思妙想的一个送。
388.07,394.53,N_SPK8003,哦，来一个，啊来一个团购是吧，然后家长群那个微信里面到时候组团儿。
393.31,404.86,N_SPK8004,这样的话呢？这个心意是代表所有班的学生，那么老师一是不会觉得尴尬，二他会觉得我是实至名归啊，嗯。
404.03,411.64,N_SPK8002,我觉得像，我觉得像你刚才说的这个，我觉得可能在家长群，我觉得他们可能会，会考虑到这方面吧。
404.23,404.82,N_SPK8003,啊。
412.29,426.14,N_SPK8003,哎呀，不过我觉得你说的这个挺好的，如果说大家各自送各自的，老师就处于这个这个这个这个这个就是说自己的师生，这个形象啊之类的，可能他不会收。
414.25,414.75,N_SPK8004,嗯。
418.92,420.0,N_SPK8004,很尴尬的位置。
419.98,420.4,N_SPK8002,很高。
421.78,424.83,N_SPK8002,不如就是，不如就是，呃，就是。
424.64,435.89,N_SPK8004,而且还有一个，而且还有一个A家庭比如说条件好，他送的高一点儿，B家庭条件不好，他送的低一点儿，那有的老师他会有比较，那他不统一。
428.26,428.55,N_SPK8003,嗯。
431.6,431.98,N_SPK8003,嗯。
434.94,441.1,N_SPK8002,我觉得这，我觉得这个同，我觉得老师，我觉得同学之间可能也会有比较。
436.65,437.94,N_SPK8004,它代表不统一的。
438.01,438.39,N_SPK8003,嗯。
441.41,453.1,N_SPK8004,而且在有一个学生之间啊，他们能聚因为他们在一个班，家长这边儿的话就可能你的家长和我家长都不认识，那咱们这边儿的话，可能家长可能就很分散。
442.16,442.61,N_SPK8003,嗯。
453.61,466.27,N_SPK8001,但是我认为他要送东西送老师东西，那孩子们不可同学们不可能到学校说去，我送老师什么啦他送老师什么啦，就是嗯教师节当天您送老师个贺卡。
465.18,479.04,N_SPK8004,那，现在这个学生跟以前的学生可不一样，现在的那个学生就是，我们家邻居那个，唉你去过新加坡吗？啊我去过，他的话语当中啊，就有一种。
468.44,469.21,N_SPK8002,有可能不一样。
479.62,481.99,N_SPK8002,就特自豪，特特明显自信的那。
479.85,491.37,N_SPK8004,这种自信，啊，然后这种的感觉，那有可能，他也可能，比如说我送家长家这个送老师什么样的礼品，他可能。
481.67,482.09,N_SPK8003,嗯。
491.96,505.45,N_SPK8004,你架不住家长他在后边儿去跟自己的孩子，去去说，啊，去去去灌述，所以的话，这个方面来说，如果要是学生散着送，你送一个我送一个。
495.69,496.3,N_SPK8002,去比较。
505.75,506.02,N_SPK8002,我觉。
506.36,509.0,N_SPK8004,这样的话会会不会不好？这个效果。
508.64,519.33,N_SPK8003,但其实是这么回事儿吧，你看马上这个过年之后就六年级了，其实小升初这个挺重要的，你要是说全班一块儿去送，其实也突不出不来。
519.76,520.31,N_SPK8002,个性。
520.12,531.79,N_SPK8003,这个将来这个这个老师会不会对对自己的孩子，能够额外的就是说能够多多去这个对他严苛一些，能让他能够成绩能更更加的，有一定的这个上升的趋势。
532.5,535.29,N_SPK8001,我认为啊，这个老作为老师来讲啊。
532.78,533.77,N_SPK8003,是吧，嗯。
536.34,547.09,N_SPK8001,就给他给不管谁给他什么礼品，他不应该轻视就是说这给他礼品少小，礼物小他轻视这个孩子，因为我觉得在学校不应该有这种情况。
548.06,553.62,N_SPK8003,那像我们过去来讲，他都是送的是挂历什么的，他没有什么像现在这么多可选性啊。
549.65,550.09,N_SPK8004,嗯。
553.72,558.27,N_SPK8002,挂历那会儿，就是送那我也不知道应该叫什么，就是摆的那叫什么玩意儿。
554.5,554.8,N_SPK8003,是吧。
555.75,556.06,N_SPK8003,嗯。
560.38,564.1,N_SPK8003,哎呀，这个这个东西这块儿选择反正。
565.15,575.63,N_SPK8003,就还是自己买自己的呗，但是咱们这个东西到时候怎么送过去啊，是咱们直接自己带过去，现在一般学校传达室都不给传递这个东西了。
566.87,567.35,N_SPK8004,嗯。
568.9,569.68,N_SPK8004,怎么送过去？
570.47,571.95,N_SPK8002,传达室收吗？现在。
577.33,583.84,N_SPK8001,我觉得给还是给老师，你跟老师一般的老师都有都有联系方式。
577.94,580.59,N_SPK8002,有，如果如果你要是有传传递。
582.31,588.33,N_SPK8004,而且吧，在学校送送这个礼品，这个很很很。
588.05,588.63,N_SPK8001,不现实。
588.19,588.44,N_SPK8003,嗯。
589.04,596.19,N_SPK8004,很不恰当，因为学校是一个教学的地方，你特意的去送礼物，啊不管是说他是。
592.07,592.3,N_SPK8001,对。
596.6,601.93,N_SPK8004,护眼灯啊，还是说对老师有一些帮助的礼物，那都是不太好的氛围。
602.42,602.62,N_SPK8001,对。
602.8,606.32,N_SPK8004,因为你你你你你在学校送礼物，这是什么意思？
606.45,607.93,N_SPK8001,这不老师他也不敢接受。
607.72,611.49,N_SPK8002,嗯，那寄，那寄到，那寄到家庭那。
608.82,616.59,N_SPK8003,对，这块儿这是一个问题啊，咱们本身准备好了东西，到时候你送完了人家不接，你这个白忙活啊，这这个这个这个事情。
612.42,612.76,N_SPK8004,嗯。
615.86,616.94,N_SPK8002,那寄，那。
615.88,618.0,N_SPK8004,我觉得来说呢，这个。
616.05,616.27,N_SPK8001,哎。
619.81,620.61,N_SPK8004,哎。
620.44,621.53,N_SPK8002,那就寄到家里。
621.37,623.37,N_SPK8004,现在的话有老师会家访。
624.3,626.19,N_SPK8004,或者等我列出几个选择啊。
626.28,626.84,N_SPK8003,嗯。
627.33,641.19,N_SPK8004,或者呢，准备的那些礼品呢比较小，袖珍的，然后比如说开家长会，啊或者跟老师有单独接触的机会，啊这样的话，我觉得这种情几几种情况都是可以选择的。
641.8,645.09,N_SPK8004,咱们可以选择选择哪一种最适合。
645.41,660.05,N_SPK8002,我觉得像那种就是不是特别大，就是小型的，我觉得就由和孩子们直接拿到学校交给老师，要说是比较像像护眼灯啊或者比较大一点儿的，那咱就像刚才说的，就以跟跟老师有以。
651.2,651.62,N_SPK8004,嗯。
657.9,669.71,N_SPK8004,嗯，因为，因为现在有一个问题就是，如果要是说孩子去交给老师，那么一个班二十多个三十多个学生，那都同自己拿自己都交过去。
658.74,659.05,N_SPK8003,嗯。
668.33,668.53,N_SPK8002,都。
670.07,674.43,N_SPK8004,那这个这个环节让校长看见这个是非常恶劣的。
672.99,673.7,N_SPK8002,也不太好。
674.81,675.47,N_SPK8001,这肯定。
674.91,685.0,N_SPK8003,但是这个怎么说呢，因为去年吧，我送了一箱红酒给我们那个孩子的那个体育老师，就之前他报的那个的足球队，报的晚了根本就没他位置。
685.86,697.59,N_SPK8003,反正后来这个给了他之后吧，确实是给安排上了，现在也跟着一块儿训练呢，我觉得其实这送送送东西还是还是有点偏差的，不是说你送完了就，嗯。
698.5,699.98,N_SPK8003,没有什么意义啊之类的。
700.11,703.2,N_SPK8002,那就以什么形式送，现在这是一个很关键。
703.89,706.38,N_SPK8003,对，这个确实是因为。
706.97,708.82,N_SPK8004,比如说送到老师的家里。
707.4,708.74,N_SPK8003,主主要是怕。
709.75,713.65,N_SPK8003,因为现在学，这个老师他肯定不会把住址告诉你啊。
709.77,711.43,N_SPK8002,那老师，那你。
711.75,712.22,N_SPK8004,嗯。
712.03,719.42,N_SPK8001,反正我认为还是就是跟老师要要这个联系方式要邮寄，你给他邮寄他家。
717.27,730.28,N_SPK8004,嗯，咱们现在的话一是送到哪儿？什么方式送？啊然后谁去送？啊谁接收？这这几点可以划分的更细一点儿，但是咱们可以大几块。
722.43,722.83,N_SPK8003,对。
728.99,742.12,N_SPK8003,对你说你说买张购物卡吧，那个让孩子带过去，到时候没送着，到时候再给弄丢了，你这你，也都是有可能的，这个东西确实是挺挺难办的一件事儿。
732.23,732.5,N_SPK8004,嗯。
736.53,737.14,N_SPK8001,也不行。
737.37,737.85,N_SPK8004,嗯。
738.7,739.04,N_SPK8004,嗯。
738.8,739.07,N_SPK8001,嗯。
743.22,748.43,N_SPK8001,这个反正我觉得应该跟老师得沟通，提前沟通好了这个事儿。
743.75,744.1,N_SPK8003,嗯。
744.93,754.46,N_SPK8002,那如果说开家，如果说是如果说要是开家长会，然后由呃，由家长把这个礼物带到会上然后交给老师。
746.81,747.21,N_SPK8004,嗯。
746.91,748.25,N_SPK8003,嗯，嗯。
749.1,749.66,N_SPK8004,嗯。
755.06,756.31,N_SPK8002,是不是也不太。
755.27,759.12,N_SPK8003,问题是咱们不是教师节吗，他近期也不开家长会啊，对不对。
757.16,760.76,N_SPK8002,对，也不太也不太，就是错过了这个时节了。
758.05,758.82,N_SPK8004,嗯。
760.45,766.54,N_SPK8003,嗯，我想了一个，比如说咱们叫个闪送啊，或是那种当日达的顺丰啊。
767.65,775.25,N_SPK8003,这个送，这个送给老师，到时候又怕，比如说对老师上课的时候他不能接电话，这也是一个问题。
767.73,768.0,N_SPK8002,呃。
770.78,772.52,N_SPK8002,老师上课没带手机。
775.85,778.01,N_SPK8002,那送到办公室，应该问题不大吧。
777.98,779.69,N_SPK8003,是吧，送吗？
779.09,784.4,N_SPK8002,办公室应该有其他老师，然后给代收已，对，已代收。
780.69,781.16,N_SPK8004,嗯。
781.83,782.43,N_SPK8004,代收。
782.28,792.66,N_SPK8003,那你这个东西，你你你你送你送的是班主任，那其他老师没有你，这个这个这个你你要知道是哪个家长送的也是一个问题啊，对吧。
788.73,789.33,N_SPK8004,对。
788.82,790.42,N_SPK8002,那你不可能，那你不可能。
792.26,795.16,N_SPK8002,那你不可能所有老师，各科老师都都。
793.97,806.75,N_SPK8004,哎，对这个问题现在又滋生一个，你到底要让他知道不知道是你送的？啊，你要不要留名？啊，因为有的家长你送完了以后我不留名，有的家长不愿意。
794.33,794.92,N_SPK8003,是啊。
800.7,801.87,N_SPK8003,对呀，这个东西。
803.08,806.4,N_SPK8003,要不要在，要不要礼物上头写上。
805.82,818.2,N_SPK8001,一这个问题呀肯定肯定得留名儿，因为那什么呢你给他送这个邮寄，我认为让他还是给他邮寄过去邮寄他家。
818.61,823.44,N_SPK8001,老师上学呢在上课这一天他不可能老去拿邮件儿。
821.82,822.34,N_SPK8004,那。
825.42,829.26,N_SPK8001,给他送到家邮到家，不管他什么时候他还是。
828.57,833.38,N_SPK8002,那你，那你要送到家，那老师会把就是地址会告诉你吗？
833.52,835.03,N_SPK8001,你提前跟老师联系啊。
833.82,842.19,N_SPK8003,他不会的，他不会告诉你的呀，你说我要送您个东西啊，您把地址告诉我，我觉得这个不太现实，这个现在都很注重隐私的。
836.74,836.99,N_SPK8004,嗯。
840.3,849.72,N_SPK8004,这个我我觉得送礼物来说呢，这个为什么要送？呃就是因为赶在教师节，我觉得这个，呃。
840.44,841.5,N_SPK8002,又不太现实。
847.61,847.91,N_SPK8002,对。
847.72,848.05,N_SPK8003,嗯。
850.73,852.26,N_SPK8004,那个有句话怎么说来着？
853.18,866.4,N_SPK8004,呃，礼多人不怪吧，而且在教师节这么一个特殊的环节，那把自己的心意跟老师传达了，我觉得应该不会拒绝，啊，他可能会尴尬在学校收。
866.72,872.01,N_SPK8004,但是有可能会跟咱们说地址，我觉得这个来说应该不是一个很大的难题。
872.63,874.75,N_SPK8002,那就提前跟老师沟通一下。
873.37,882.05,N_SPK8003,那咱们就是提前看看能不能跟老师那边把地址索要一下，反正也提前跟他交代一下，咱们要送个礼物过去啊。
877.71,878.02,N_SPK8002,嗯，对。
878.4,878.73,N_SPK8004,对。
881.1,889.37,N_SPK8004,送到家以后，还避免了在这个教师办公室别的老师会有一些，心里挫败感。
885.18,886.01,N_SPK8003,啊，对。
888.82,893.54,N_SPK8001,在学校里的呃呃肯定不方便，这些事儿是吧。
892.15,892.66,N_SPK8003,对。
892.18,894.3,N_SPK8004,又可以让老师们一视同仁。
893.66,894.41,N_SPK8002,那，嗯。
894.63,894.96,N_SPK8001,嗯。
894.92,905.4,N_SPK8003,就提前说一下，咱们可能也不会说送什么特别贵重的东西，但是呢，是一份心意，您一定给我们留个地址，避免就是说，啊直接送到学校里边，嗯。
898.67,899.03,N_SPK8002,嗯。
900.08,900.27,N_SPK8002,嗯。
900.16,900.69,N_SPK8004,对。
903.67,912.04,N_SPK8001,因为您上班儿下班儿的或者出行不方便，还要拎着东西直接给您送到家，这不就方便了吗？
906.31,911.86,N_SPK8002,对，不管是不管是卡也好，还是礼物也好啊，对，就是一份小小的心意，对。
907.57,908.29,N_SPK8004,对。
908.43,908.85,N_SPK8003,嗯。
910.75,911.5,N_SPK8004,嗯嗯。
912.97,921.01,N_SPK8003,啊，这个是可以，或者说送一些小的物件呢，比如亲自交他手里头，他直接塞兜儿里头了，是吧，嗯。
914.96,915.3,N_SPK8001,嗯。
918.85,933.22,N_SPK8001,也成嗯我觉得我认为也可以，一因为是教师节嘛，头教师节孩子们让孩子们拿些老师我送您一本鲜花儿今天是您节日，这这个满可以的是吧。
919.69,920.37,N_SPK8004,嗯。
919.92,920.78,N_SPK8002,也成，嗯。
921.91,923.46,N_SPK8002,就是不是特别大的，咱就。
924.54,925.15,N_SPK8003,嗯嗯。
924.71,925.26,N_SPK8004,嗯。
930.53,931.12,N_SPK8003,嗯嗯嗯。
931.51,932.0,N_SPK8002,嗯。
933.73,944.72,N_SPK8003,对，就是说咱们，孩子准备一份儿，小自己的一个小小的手工活儿或者说小的鲜花之类的，然后咱们作为家长呢，也准备一份礼物啊。
937.19,937.51,N_SPK8002,嗯。
937.38,937.63,N_SPK8001,对。
941.0,941.33,N_SPK8001,对。
945.38,949.32,N_SPK8003,然后是买个类似这个这个，就是。
951.0,960.78,N_SPK8003,这护眼台灯啊什么什么之类的这个东西，然后呢，跟看看想办法再跟这个这个学，跟老师沟通要个地址，啊对对对。
952.45,953.11,N_SPK8004,嗯。
954.34,954.64,N_SPK8004,对。
957.26,961.15,N_SPK8002,老师沟通，嗯沟通送到，送到那，送到哪里。
958.08,965.41,N_SPK8001,对家长这个，家长这个这个这个心意啊那就得跟老师必须联系了，是吧。
959.67,960.39,N_SPK8004,对。
961.52,961.93,N_SPK8004,对。
962.41,967.99,N_SPK8003,啊对，这个就是既可以，既可以解决这个，嗯嗯。
963.21,963.56,N_SPK8004,嗯。
964.3,964.63,N_SPK8004,嗯。
966.26,966.62,N_SPK8004,对。
966.72,973.21,N_SPK8001,一帮孩子一般的情况下孩子都也都，咱们都得有家长老师的联系方式。
969.84,971.76,N_SPK8003,老师现场收礼这种。
973.57,977.96,N_SPK8003,对，尴尬的方式吧，然后再一个就是还可以送出去，嗯。
974.01,974.27,N_SPK8004,对。
975.62,984.07,N_SPK8001,现在都呃这个学校都有微信，这老师跟孩子们都这一般孩子都有个都有微信。
978.97,979.54,N_SPK8004,嗯。
983.46,992.15,N_SPK8003,对呀，现在只有微信跟办公室电话，其他信息全都没有，你这个要了地址了，你就还得把这个这个这个电话也得要过去。
986.03,986.33,N_SPK8001,嗯。
986.16,986.5,N_SPK8004,嗯。
987.57,988.13,N_SPK8004,嗯。
992.9,994.92,N_SPK8002,电话，电话地址。
996.02,997.25,N_SPK8002,然后还有什么呀？
997.47,999.33,N_SPK8001,那得必须得跟老师提前联系。
998.77,1006.57,N_SPK8003,你肯定要有电话地址啊，最好其实是能够是他老师的家属，把她的这个电话跟地址要过来，嗯。
1000.01,1000.56,N_SPK8004,对。
1001.27,1002.0,N_SPK8002,电话地址。
1003.4,1017.66,N_SPK8002,对，然后呢，那那如果要是，如果说是当呃比方说九月十号是是教师节的话，那我可能要提前一两天，就应该要寄送，因为北京同城一两天就应该能到了。
1004.06,1004.66,N_SPK8004,嗯。
1011.04,1011.38,N_SPK8003,嗯。
1015.58,1015.8,N_SPK8003,对。
1017.04,1022.85,N_SPK8003,对，如果说呀，咱们寄到家里头，那么咱们提前点儿错后点儿地都无所谓。
1017.79,1018.28,N_SPK8004,嗯。
1022.77,1022.94,N_SPK8002,对。
1023.06,1023.47,N_SPK8004,嗯。
1023.73,1026.64,N_SPK8003,那么如果说呢，咱们带到这个。
1027.02,1027.37,N_SPK8001,学校。
1027.23,1028.81,N_SPK8002,学校，咱在这当天。
1027.85,1035.42,N_SPK8003,学校去，那你肯定只能当天去，嗯，现在呢，也就是说咱们的难点呢就是提前跟这个老师呢。
1028.86,1030.68,N_SPK8001,就得要当天，对。
1030.08,1030.94,N_SPK8002,当天，对。
1030.34,1031.43,N_SPK8004,对，当天。
1033.92,1034.41,N_SPK8004,嗯。
1037.85,1045.48,N_SPK8003,如果说地址能够顺利的要下来了，那么这个时间啊，啊包括什么的这些难题，一切都可以解决。
1037.96,1038.45,N_SPK8001,就能。
1037.97,1038.33,N_SPK8004,对。
1040.68,1041.28,N_SPK8001,就能送到。
1042.34,1042.62,N_SPK8004,嗯。
1042.59,1046.25,N_SPK8002,就拖后一两，拖后一两天，就都拖后一两天都可以。
1042.63,1043.77,N_SPK8001,能送到老师手里。
1045.2,1048.48,N_SPK8004,对对对，时间就可以往前错，可以往后错，还有伸缩性。
1046.75,1047.19,N_SPK8003,对。
1047.32,1047.79,N_SPK8002,呃，不。
1048.05,1048.29,N_SPK8001,对。
1048.54,1049.17,N_SPK8002,伸缩性。
1050.21,1050.68,N_SPK8002,嗯。
1058.76,1059.12,N_SPK8004,对。
1059.86,1061.57,N_SPK8002,当天，或者带到学校。
1062.64,1062.9,N_SPK8004,嗯。
1067.37,1067.98,N_SPK8004,嗯。
1076.78,1087.0,N_SPK8004,我觉得老师基本上来说这种，比较有有有有有有受人尊重的这种职业，他基本来说呢，是。
1088.05,1095.55,N_SPK8004,有的时候你在教师节这个特别特定的节日，你送他什么他都会有一些。
1094.15,1094.53,N_SPK8002,他。
1097.8,1110.6,N_SPK8004,呃，这个怎么说呢？可能她不想让人知道太多，到教师节，我收了很多礼品，虽然说都是一些，呃，有有有碍于帮助的这种礼品。
1104.28,1104.54,N_SPK8003,对。
1105.63,1105.89,N_SPK8003,对。
1111.02,1111.37,N_SPK8002,我觉。
1111.03,1115.89,N_SPK8004,所以我觉得是不是要考虑到教师的这种感受，啊能尽量的。
1116.81,1119.03,N_SPK8004,不见光，哎尽量的。
1119.8,1124.04,N_SPK8003,避免尴尬，啊避免尴尬，然后呢实用性还有一定的。
1119.83,1122.67,N_SPK8004,让她舒服，哎对，让他舒服。
1121.65,1133.32,N_SPK8002,就以，就让他以什么方式能接受了这个，这份儿礼物，就让他不是特别的接，对，然后。不舒服，心里就感觉不舒服的那感觉。
1122.94,1123.07,N_SPK8001,嗯。
1125.94,1126.57,N_SPK8004,啊。
1126.01,1127.37,N_SPK8001,那就得考虑考虑了。
1128.34,1130.75,N_SPK8004,能接受，又不会让。
1132.51,1144.14,N_SPK8004,因为在这个全班三十名二十名同学里边肯定有的家长心思不缜密，他不送，可能家长可能是老出差的工作，他根本想不到。
1133.31,1133.58,N_SPK8003,嗯。
1139.08,1139.35,N_SPK8003,嗯。
1139.73,1140.13,N_SPK8002,嗯。
1142.8,1146.14,N_SPK8002,嗯就是就说咱，比方说比方。
1142.91,1145.98,N_SPK8003,啊对，对，肯定会想不到的，嗯。
1144.67,1148.8,N_SPK8004,这里边儿的话有的送有的不送，那就得把这些东西压到最低。
1149.38,1149.64,N_SPK8003,对。
1149.65,1159.53,N_SPK8002,那那你全班有三十多个人，这不可能说我三十多个家长就像咱说的，我我每个人我都买一份礼物，这不好又不太不不太可能，对。
1157.47,1159.33,N_SPK8001,不不，嗯对。
1157.52,1157.86,N_SPK8004,对。
1159.13,1169.4,N_SPK8003,哎要照这么说的话，我觉得就是，就是去什么沃尔玛物美啊办张购物卡，然后呢教师节那天，啊抽个时间啊。
1164.74,1165.25,N_SPK8004,嗯。
1165.62,1166.15,N_SPK8002,嗯。
1167.7,1168.71,N_SPK8002,由孩子带过去。
1170.2,1182.89,N_SPK8003,我过去直接塞给老师，啊这样的话呢，这个也是一份心意，也避也避免了你送了一些人家老师用不着的东西，到时候占用人家时间再去处理啊，或者怎么样。
